,content
68,"{'companyShortName': '一面数据', 'createTime': '2018-12-24 14:39:21', 'companyId': 35565, 'jobNature': '全职', 'companySize': '50-150人', 'approve': 1, 'companyLabelList': ['技能培训', '海归精英团队', 'Geek分享', '绩效奖金'], 'publisherId': 617968, 'district': '南山区', 'financeStage': 'A轮', 'industryField': '移动互联网,数据服务', 'workYear': '不限', 'education': '本科', 'city': '深圳', 'positionName': '数据分析师（汽车行业）', 'companyLogo': 'i/image/M00/8B/BA/CgqKkVh8ScGAXHRbAAFNeQBTYK0395.png', 'positionId': 5292721, 'positionAdvantage': '大数据人工智能；清华系大牛；技术氛围浓', 'salary': '8k-15k', 'score': 0, 'positionLables': ['汽车'], 'industryLables': ['汽车'], 'businessZones': ['科技园'], 'longitude': '113.939945', 'latitude': '22.54064', 'formatCreateTime': '2天前发布', 'adWord': 0, 'companyFullName': '深圳市一面网络技术有限公司', 'hitags': None, 'resumeProcessRate': 100, 'resumeProcessDay': 1, 'imState': 'disabled', 'lastLogin': 1545795519000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '产品|需求|项目类', 'secondType': '数据分析', 'isSchoolJob': 0, 'subwayline': '1号线/罗宝线', 'stationname': '深大', 'linestaion': '1号线/罗宝线_高新园;1号线/罗宝线_深大', 'thirdType': '数据分析', 'skillLables': []}"
69,"{'companyShortName': '小赢科技', 'createTime': '2018-12-25 14:18:40', 'companyId': 24587, 'jobNature': '全职', 'companySize': '500-2000人', 'approve': 1, 'companyLabelList': ['五险一金', '两餐补助', '超低息员工贷', '年底奖金'], 'publisherId': 2694874, 'district': '南山区', 'financeStage': '上市公司', 'industryField': '金融', 'workYear': '3-5年', 'education': '本科', 'city': '深圳', 'positionName': '金融数据分析师', 'companyLogo': 'i/image2/M01/B1/68/CgoB5lv-WkSAH5NIAAAHsuZjfIw784.png', 'positionId': 5206881, 'positionAdvantage': '薪资优厚,优质福利,平台广阔', 'salary': '15k-20k', 'score': 0, 'positionLables': ['互联网金融'], 'industryLables': ['互联网金融'], 'businessZones': ['后海', '深圳湾', '南油'], 'longitude': '22.519131', 'latitude': '113.941779', 'formatCreateTime': '1天前发布', 'adWord': 0, 'companyFullName': '深圳市小赢科技有限责任公司', 'hitags': None, 'resumeProcessRate': 37, 'resumeProcessDay': 1, 'imState': 'today', 'lastLogin': 1545723802000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '金融类', 'secondType': '互联网金融', 'isSchoolJob': 0, 'subwayline': None, 'stationname': None, 'linestaion': None, 'thirdType': '分析师', 'skillLables': []}"
70,"{'companyShortName': '顺丰速运', 'createTime': '2018-12-17 10:22:16', 'companyId': 210133, 'jobNature': '全职', 'companySize': '2000人以上', 'approve': 1, 'companyLabelList': ['年底双薪', '绩效奖金', '带薪年假', '午餐补助'], 'publisherId': 8093858, 'district': '南山区', 'financeStage': '上市公司', 'industryField': '生活服务', 'workYear': '5-10年', 'education': '本科', 'city': '深圳', 'positionName': '资深高级数据分析师', 'companyLogo': 'i/image/M00/38/83/CgpEMllDQSKAARc8AAHNwrMNgpQ604.png', 'positionId': 5361753, 'positionAdvantage': '上市公司', 'salary': '25k-50k', 'score': 0, 'positionLables': ['物流', '数据仓库', '数据架构', '数据挖掘'], 'industryLables': ['物流', '数据仓库', '数据架构', '数据挖掘'], 'businessZones': None, 'longitude': '113.940213', 'latitude': '22.524499', 'formatCreateTime': '2018-12-17', 'adWord': 0, 'companyFullName': '顺丰速运有限公司', 'hitags': None, 'resumeProcessRate': 1, 'resumeProcessDay': 4, 'imState': 'today', 'lastLogin': 1545788183000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '开发|测试|运维类', 'secondType': '数据开发', 'isSchoolJob': 0, 'subwayline': '2号线/蛇口线', 'stationname': '科苑', 'linestaion': '2号线/蛇口线_后海;2号线/蛇口线_科苑;11号线/机场线_后海', 'thirdType': '数据分析', 'skillLables': ['数据仓库', '数据架构', '数据挖掘']}"
71,"{'companyShortName': '九游', 'createTime': '2018-12-26 11:02:15', 'companyId': 198141, 'jobNature': '全职', 'companySize': '15-50人', 'approve': 1, 'companyLabelList': [], 'publisherId': 8598534, 'district': '南山区', 'financeStage': '不需要融资', 'industryField': '游戏', 'workYear': '1-3年', 'education': '本科', 'city': '深圳', 'positionName': '游戏数据分析师', 'companyLogo': 'i/image/M00/56/EF/CgpEMll_ATOAcriaAAAzqf8vIZ0229.png', 'positionId': 5277652, 'positionAdvantage': '弹性工作,周末双休,精英团队', 'salary': '12k-22k', 'score': 0, 'positionLables': ['游戏', '移动互联网', '数据运营'], 'industryLables': ['游戏', '移动互联网', '数据运营'], 'businessZones': ['大冲', '科技园'], 'longitude': '113.952514', 'latitude': '22.535885', 'formatCreateTime': '11:02发布', 'adWord': 0, 'companyFullName': '深圳市九游网络科技有限公司', 'hitags': None, 'resumeProcessRate': 73, 'resumeProcessDay': 1, 'imState': 'today', 'lastLogin': 1545793326000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '产品|需求|项目类', 'secondType': '数据分析', 'isSchoolJob': 0, 'subwayline': '2号线/蛇口线', 'stationname': '深大', 'linestaion': '2号线/蛇口线_科苑;1号线/罗宝线_高新园;1号线/罗宝线_深大', 'thirdType': '数据分析', 'skillLables': ['数据运营']}"
72,"{'companyShortName': '派鲜', 'createTime': '2018-12-24 11:29:13', 'companyId': 22623, 'jobNature': '全职', 'companySize': '150-500人', 'approve': 1, 'companyLabelList': ['技能培训', '年底双薪', '岗位晋升', 'O2O'], 'publisherId': 3132685, 'district': '南山区', 'financeStage': 'B轮', 'industryField': '生活服务', 'workYear': '应届毕业生', 'education': '不限', 'city': '深圳', 'positionName': '数据分析产品助理', 'companyLogo': 'i/image/M00/67/A7/Cgp3O1gOyWqAfL9WAAAkpjbPgqY468.png', 'positionId': 5430367, 'positionAdvantage': '五险一金,周末双休,免费班车,优秀团队', 'salary': '8k-10k', 'score': 0, 'positionLables': ['SQL'], 'industryLables': [], 'businessZones': ['前海', '南头', '科技园'], 'longitude': '113.932899', 'latitude': '22.542186', 'formatCreateTime': '2天前发布', 'adWord': 0, 'companyFullName': '深圳派鲜科技有限公司', 'hitags': None, 'resumeProcessRate': 8, 'resumeProcessDay': 1, 'imState': 'today', 'lastLogin': 1545786103000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '产品|需求|项目类', 'secondType': '数据分析', 'isSchoolJob': 1, 'subwayline': '1号线/罗宝线', 'stationname': '桃园', 'linestaion': '1号线/罗宝线_深大;1号线/罗宝线_桃园', 'thirdType': '数据分析', 'skillLables': ['SQL']}"
73,"{'companyShortName': '马上金融', 'createTime': '2018-12-25 09:35:36', 'companyId': 136443, 'jobNature': '全职', 'companySize': '2000人以上', 'approve': 1, 'companyLabelList': ['股票期权', '年终分红', '绩效奖金', '带薪年假'], 'publisherId': 8969208, 'district': '福田区', 'financeStage': '不需要融资', 'industryField': '金融,移动互联网', 'workYear': '3-5年', 'education': '本科', 'city': '深圳', 'positionName': '反欺诈数据分析师', 'companyLogo': 'i/image/M00/3D/D2/Cgp3O1dzLwmACOhFAAAst6OkilQ904.jpg', 'positionId': 5450886, 'positionAdvantage': '五险一金 带薪年假 定期培训 年终奖金', 'salary': '13k-25k', 'score': 0, 'positionLables': ['风控', '风险分析'], 'industryLables': [], 'businessZones': ['景田'], 'longitude': '114.047958', 'latitude': '22.553401', 'formatCreateTime': '1天前发布', 'adWord': 0, 'companyFullName': '马上消费金融股份有限公司', 'hitags': None, 'resumeProcessRate': 0, 'resumeProcessDay': 0, 'imState': 'today', 'lastLogin': 1545802821000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '金融类', 'secondType': '风控', 'isSchoolJob': 0, 'subwayline': '2号线/蛇口线', 'stationname': '景田', 'linestaion': '2号线/蛇口线_景田;2号线/蛇口线_莲花西;4号线/龙华线_少年宫;4号线/龙华线_莲花北;3号线/龙岗线_少年宫;9号线_香梅;9号线_景田;9号线_梅景;9号线_下梅林', 'thirdType': '风控', 'skillLables': ['风控', '风险分析']}"
74,"{'companyShortName': '平安产险', 'createTime': '2018-12-24 00:00:00', 'companyId': 1868, 'jobNature': '全职', 'companySize': '2000人以上', 'approve': 1, 'companyLabelList': ['绩效奖金 ', '五险一金 ', '带薪年假 ', '年度旅游 '], 'publisherId': 359968, 'district': '福田区', 'financeStage': '上市公司', 'industryField': '移动互联网,金融', 'workYear': '1-3年', 'education': '本科', 'city': '深圳', 'positionName': '03112H-小微客户数据分析岗', 'companyLogo': 'image1/M00/1D/E6/CgYXBlUspPGAMaaXAACAnoSM6vM658.jpg', 'positionId': 5432518, 'positionAdvantage': '五险一金,绩效奖金,带薪年假,定期体检', 'salary': '20k-25k', 'score': 0, 'positionLables': ['金融', '保险'], 'industryLables': ['金融', '保险'], 'businessZones': None, 'longitude': '114.055639', 'latitude': '22.533181', 'formatCreateTime': '2天前发布', 'adWord': 0, 'companyFullName': '中国平安财产保险股份有限公司', 'hitags': None, 'resumeProcessRate': 14, 'resumeProcessDay': 2, 'imState': 'today', 'lastLogin': 1545724281000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '金融类', 'secondType': '保险', 'isSchoolJob': 0, 'subwayline': '2号线/蛇口线', 'stationname': '岗厦', 'linestaion': '2号线/蛇口线_福田;2号线/蛇口线_市民中心;4号线/龙华线_会展中心;4号线/龙华线_市民中心;1号线/罗宝线_岗厦;1号线/罗宝线_会展中心;1号线/罗宝线_购物公园;3号线/龙岗线_石厦;3号线/龙岗线_购物公园;3号线/龙岗线_福田;11号线/机场线_福田;7号线_石厦;7号线_皇岗村', 'thirdType': '其他保险职位', 'skillLables': ['保险']}"
75,"{'companyId': 6927, 'hitags': None, 'resumeProcessRate': 100, 'resumeProcessDay': 4, 'imState': 'today', 'lastLogin': 1545805821000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '开发|测试|运维类', 'secondType': '高端技术职位', 'isSchoolJob': 0, 'subwayline': '2号线/蛇口线', 'stationname': '登良', 'linestaion': '2号线/蛇口线_登良;2号线/蛇口线_后海;2号线/蛇口线_科苑;11号线/机场线_后海', 'thirdType': '其他高端技术职位', 'skillLables': [], 'positionName': '高级数据分析工程师', 'workYear': '3-5年', 'education': '本科', 'jobNature': '全职', 'companyLogo': 'image1/M00/37/F3/Cgo8PFWkd7iAHDSXAAAKdotH5mM556.jpg', 'salary': '15k-30k', 'city': '深圳', 'financeStage': '不需要融资', 'industryField': '移动互联网', 'approve': 1, 'positionId': 1670801, 'createTime': '2018-12-20 14:25:39', 'positionAdvantage': '核心事业群 千万级日活 氛围好 组织扁平', 'companyShortName': 'OPPO', 'companySize': '2000人以上', 'companyLabelList': ['丰厚年终', '扁平管理', '追求极致', '本分'], 'publisherId': 2259801, 'score': 0, 'district': '南山区', 'positionLables': [], 'industryLables': [], 'businessZones': None, 'longitude': '113.943044', 'latitude': '22.518792', 'formatCreateTime': '2018-12-20', 'companyFullName': 'OPPO广东移动通信有限公司', 'adWord': 0}"
76,"{'companyId': 24587, 'hitags': None, 'resumeProcessRate': 67, 'resumeProcessDay': 1, 'imState': 'today', 'lastLogin': 1545803636000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '市场|商务类', 'secondType': '市场|营销', 'isSchoolJob': 0, 'subwayline': '2号线/蛇口线', 'stationname': '登良', 'linestaion': '2号线/蛇口线_登良;2号线/蛇口线_后海;2号线/蛇口线_科苑;11号线/机场线_后海', 'thirdType': '其他市场|营销', 'skillLables': [], 'positionName': '数据分析专家', 'workYear': '3-5年', 'education': '本科', 'jobNature': '全职', 'companyLogo': 'i/image2/M01/B1/68/CgoB5lv-WkSAH5NIAAAHsuZjfIw784.png', 'salary': '20k-25k', 'city': '深圳', 'financeStage': '上市公司', 'industryField': '金融', 'approve': 1, 'positionId': 4151939, 'createTime': '2018-12-21 14:18:10', 'positionAdvantage': '五险一金、定期体检、绩效奖金、午餐补助', 'companyShortName': '小赢科技', 'companySize': '500-2000人', 'companyLabelList': ['五险一金', '两餐补助', '超低息员工贷', '年底奖金'], 'publisherId': 292652, 'score': 0, 'district': '南山区', 'positionLables': ['金融'], 'industryLables': ['金融'], 'businessZones': ['后海', '深圳湾', '科技园'], 'longitude': '113.94225', 'latitude': '22.519682', 'formatCreateTime': '2018-12-21', 'companyFullName': '深圳市小赢科技有限责任公司', 'adWord': 0}"
77,"{'companyId': 211786, 'hitags': None, 'resumeProcessRate': 80, 'resumeProcessDay': 1, 'imState': 'disabled', 'lastLogin': 1545807804000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '产品|需求|项目类', 'secondType': '产品经理', 'isSchoolJob': 0, 'subwayline': '2号线/蛇口线', 'stationname': '海月', 'linestaion': '2号线/蛇口线_湾厦;2号线/蛇口线_海月;2号线/蛇口线_登良', 'thirdType': '产品经理', 'skillLables': ['需求分析', '医疗'], 'positionName': '基因数据分析专家', 'workYear': '1-3年', 'education': '硕士', 'jobNature': '全职', 'companyLogo': 'i/image/M00/34/E5/CgpEMlk8oD2AfeRlAACDDr04sSA282.jpg', 'salary': '12k-18k', 'city': '深圳', 'financeStage': 'A轮', 'industryField': '医疗健康,数据服务', 'approve': 1, 'positionId': 4680444, 'createTime': '2018-12-21 12:18:40', 'positionAdvantage': '人工智能,高端前沿,前景广阔', 'companyShortName': '脑医生', 'companySize': '15-50人', 'companyLabelList': ['专项奖金', '带薪年假', '领导好', '五险一金'], 'publisherId': 8148737, 'score': 0, 'district': '南山区', 'positionLables': ['云计算', '需求分析', '医疗'], 'industryLables': ['云计算', '需求分析', '医疗'], 'businessZones': ['深圳湾', '后海'], 'longitude': '113.94868', 'latitude': '22.503279', 'formatCreateTime': '2018-12-21', 'companyFullName': '深圳市铱硙医疗科技有限公司', 'adWord': 0}"
78,"{'companyId': 168557, 'hitags': ['购买社保', '免费休闲游', '试用期上公积金', '免费下午茶', '免费体检', '一年多次调薪', '6险1金'], 'resumeProcessRate': 0, 'resumeProcessDay': 0, 'imState': 'today', 'lastLogin': 1545790114000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '产品|需求|项目类', 'secondType': '产品经理', 'isSchoolJob': 0, 'subwayline': '1号线/罗宝线', 'stationname': '桃园', 'linestaion': '1号线/罗宝线_深大;1号线/罗宝线_桃园', 'thirdType': '其他产品经理', 'skillLables': ['需求分析', '用户研究'], 'positionName': '数据分析产品经理', 'workYear': '1-3年', 'education': '本科', 'jobNature': '全职', 'companyLogo': 'i/image/M00/91/41/Cgp3O1iX5ryAG-T-AAAOmZ4LcU4462.png', 'salary': '8k-10k', 'city': '深圳', 'financeStage': '不需要融资', 'industryField': '移动互联网,游戏', 'approve': 1, 'positionId': 4499760, 'createTime': '2018-12-24 15:20:40', 'positionAdvantage': '免费班车,免费早餐,六险一金,绩效+津贴', 'companyShortName': 'YIDATEC', 'companySize': '2000人以上', 'companyLabelList': [], 'publisherId': 10626005, 'score': 0, 'district': '南山区', 'positionLables': ['需求分析', '用户研究'], 'industryLables': [], 'businessZones': ['前海', '南头', '科技园'], 'longitude': '113.932899', 'latitude': '22.542186', 'formatCreateTime': '2天前发布', 'companyFullName': '亿达信息技术（深圳）有限公司', 'adWord': 0}"
79,"{'companyId': 24748, 'hitags': None, 'resumeProcessRate': 35, 'resumeProcessDay': 4, 'imState': 'today', 'lastLogin': 1545804943000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '产品|需求|项目类', 'secondType': '数据分析', 'isSchoolJob': 0, 'subwayline': '2号线/蛇口线', 'stationname': '岗厦', 'linestaion': '2号线/蛇口线_福田;2号线/蛇口线_市民中心;4号线/龙华线_会展中心;4号线/龙华线_市民中心;1号线/罗宝线_岗厦;1号线/罗宝线_会展中心;1号线/罗宝线_购物公园;3号线/龙岗线_石厦;3号线/龙岗线_购物公园;3号线/龙岗线_福田;11号线/机场线_福田;7号线_石厦;7号线_皇岗村', 'thirdType': '数据分析', 'skillLables': ['SPSS'], 'positionName': '数据分析专员（深圳）', 'workYear': '不限', 'education': '本科', 'jobNature': '全职', 'companyLogo': 'i/image/M00/7D/7C/Cgp3O1hHwlSAXh_pAACcLWenfL8606.jpg', 'salary': '10k-15k', 'city': '深圳', 'financeStage': '不需要融资', 'industryField': '金融', 'approve': 1, 'positionId': 3776813, 'createTime': '2018-12-26 00:00:16', 'positionAdvantage': '世界500强 带薪年假 节日福利 绩效丰厚', 'companyShortName': '平安科技', 'companySize': '2000人以上', 'companyLabelList': ['节日礼物', '年度旅游', '岗位晋升', '技能培训'], 'publisherId': 811225, 'score': 0, 'district': '福田区', 'positionLables': ['大数据', '金融', 'SPSS'], 'industryLables': ['大数据', '金融', 'SPSS'], 'businessZones': ['购物公园', '皇岗', '新洲'], 'longitude': '114.055755', 'latitude': '22.533344', 'formatCreateTime': '00:00发布', 'companyFullName': '平安科技（深圳）有限公司', 'adWord': 0}"
80,"{'companyId': 451, 'hitags': ['免费班车', '年轻团队', '学习机会', 'mac办公', '定期团建', '开工利是红包'], 'resumeProcessRate': 100, 'resumeProcessDay': 1, 'imState': 'disabled', 'lastLogin': 1545810166000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '开发|测试|运维类', 'secondType': '数据开发', 'isSchoolJob': 0, 'subwayline': '1号线/罗宝线', 'stationname': '桃园', 'linestaion': '1号线/罗宝线_深大;1号线/罗宝线_桃园', 'thirdType': '数据分析', 'skillLables': ['SQLServer', 'Spark', 'Hadoop', '算法'], 'positionName': 'CSIG18-高级数据分析师（深圳）', 'workYear': '3-5年', 'education': '本科', 'jobNature': '全职', 'companyLogo': 'image1/M00/00/03/CgYXBlTUV_qALGv0AABEuOJDipU378.jpg', 'salary': '15k-30k', 'city': '深圳', 'financeStage': '上市公司', 'industryField': '移动互联网 ,游戏', 'approve': 1, 'positionId': 5243801, 'createTime': '2018-12-22 21:38:10', 'positionAdvantage': '技术大咖', 'companyShortName': '腾讯', 'companySize': '2000人以上', 'companyLabelList': ['免费班车', '成长空间', '年度旅游', '岗位晋升'], 'publisherId': 7399330, 'score': 0, 'district': '南山区', 'positionLables': ['SQLServer', 'Spark', 'Hadoop', '算法'], 'industryLables': [], 'businessZones': ['科技园'], 'longitude': '113.934457', 'latitude': '22.540822', 'formatCreateTime': '2018-12-22', 'companyFullName': '腾讯科技(深圳)有限公司', 'adWord': 0}"
81,"{'companyId': 376017, 'hitags': None, 'resumeProcessRate': 0, 'resumeProcessDay': 0, 'imState': 'overSevenDays', 'lastLogin': 1544085537000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '产品|需求|项目类', 'secondType': '数据分析', 'isSchoolJob': 1, 'subwayline': '2号线/蛇口线', 'stationname': '岗厦', 'linestaion': '2号线/蛇口线_福田;2号线/蛇口线_市民中心;2号线/蛇口线_岗厦北;4号线/龙华线_会展中心;4号线/龙华线_市民中心;1号线/罗宝线_岗厦;1号线/罗宝线_会展中心;1号线/罗宝线_购物公园;3号线/龙岗线_石厦;3号线/龙岗线_购物公园;3号线/龙岗线_福田;11号线/机场线_福田;7号线_石厦;7号线_皇岗村', 'thirdType': '数据分析', 'skillLables': ['SQL', '数据库'], 'positionName': '数据分析实习生/金融工程', 'workYear': '应届毕业生', 'education': '本科', 'jobNature': '实习', 'companyLogo': 'images/logo_default.png', 'salary': '4k-8k', 'city': '深圳', 'financeStage': '不需要融资', 'industryField': '金融、数据服务', 'approve': 0, 'positionId': 5396850, 'createTime': '2018-12-05 16:27:48', 'positionAdvantage': '五险一金，高新+期权', 'companyShortName': '乾晟科技', 'companySize': '15-50人', 'companyLabelList': ['""""'], 'publisherId': 10707756, 'score': 0, 'district': '福田区', 'positionLables': ['SQL', '数据库'], 'industryLables': [], 'businessZones': ['新洲', '皇岗', '购物公园'], 'longitude': '114.057142', 'latitude': '22.533214', 'formatCreateTime': '2018-12-05', 'companyFullName': '深圳乾晟信息科技有限公司', 'adWord': 0}"
82,"{'companyId': 35539, 'hitags': None, 'resumeProcessRate': 29, 'resumeProcessDay': 1, 'imState': 'today', 'lastLogin': 1545794642000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '产品|需求|项目类', 'secondType': '数据分析', 'isSchoolJob': 0, 'subwayline': '2号线/蛇口线', 'stationname': '岗厦', 'linestaion': '2号线/蛇口线_莲花西;2号线/蛇口线_福田;2号线/蛇口线_市民中心;2号线/蛇口线_岗厦北;4号线/龙华线_会展中心;4号线/龙华线_市民中心;4号线/龙华线_少年宫;1号线/罗宝线_岗厦;1号线/罗宝线_会展中心;3号线/龙岗线_福田;3号线/龙岗线_少年宫;3号线/龙岗线_莲花村;11号线/机场线_福田', 'thirdType': '数据分析', 'skillLables': ['SPSS', 'SQL', '数据库'], 'positionName': '初级风险量化数据分析师', 'workYear': '1-3年', 'education': '本科', 'jobNature': '全职', 'companyLogo': 'i/image2/M01/56/67/CgoB5lseQsWAKufbAAEVwNGPM7c178.png', 'salary': '10k-15k', 'city': '深圳', 'financeStage': 'D轮及以上', 'industryField': '金融', 'approve': 1, 'positionId': 5363967, 'createTime': '2018-12-17 11:31:35', 'positionAdvantage': '领导nice 团队牛人多 美女多', 'companyShortName': '即有分期', 'companySize': '2000人以上', 'companyLabelList': ['年底双薪', '节日礼物', '技能培训', '年度旅游'], 'publisherId': 618122, 'score': 0, 'district': '福田区', 'positionLables': ['SPSS', 'SQL', '数据库'], 'industryLables': [], 'businessZones': None, 'longitude': '114.06363', 'latitude': '22.54713', 'formatCreateTime': '2018-12-17', 'companyFullName': '深圳前海达飞金融服务有限公司', 'adWord': 0}"
83,"{'companyId': 35996, 'hitags': ['免费休闲游', '免费健身房', '一年调薪2次', '交通补助', '话费补助', '免费体检', '5险1金', '创新经费支持', '加班补贴'], 'resumeProcessRate': 1, 'resumeProcessDay': 1, 'imState': 'today', 'lastLogin': 1545792256000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '产品|需求|项目类', 'secondType': '产品经理', 'isSchoolJob': 0, 'subwayline': '2号线/蛇口线', 'stationname': '南山', 'linestaion': '2号线/蛇口线_后海;2号线/蛇口线_科苑;11号线/机场线_南山;11号线/机场线_后海', 'thirdType': '数据产品经理', 'skillLables': ['产品策划', '产品设计'], 'positionName': 'DSQ-数据产品经理（数据分析方向）', 'workYear': '3-5年', 'education': '本科', 'jobNature': '全职', 'companyLogo': 'image1/M00/0B/E5/CgYXBlT0JAmATdmDAAA6dg5X4_k508.jpg', 'salary': '18k-36k', 'city': '深圳', 'financeStage': '不需要融资', 'industryField': '移动互联网,电子商务', 'approve': 1, 'positionId': 5360313, 'createTime': '2018-12-25 09:56:51', 'positionAdvantage': '重点项目 技术氛围', 'companyShortName': '顺丰科技有限公司', 'companySize': '500-2000人', 'companyLabelList': ['技能培训', '节日礼物', '带薪年假', '岗位晋升'], 'publisherId': 9646523, 'score': 0, 'district': '南山区', 'positionLables': ['大数据', '产品策划', '产品设计'], 'industryLables': ['大数据', '产品策划', '产品设计'], 'businessZones': ['后海', '科技园'], 'longitude': '113.937987', 'latitude': '22.523392', 'formatCreateTime': '1天前发布', 'companyFullName': '顺丰科技有限公司', 'adWord': 0}"
84,"{'companyId': 917, 'hitags': None, 'resumeProcessRate': 89, 'resumeProcessDay': 1, 'imState': 'today', 'lastLogin': 1545809506000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '开发|测试|运维类', 'secondType': '数据开发', 'isSchoolJob': 0, 'subwayline': '1号线/罗宝线', 'stationname': '新安', 'linestaion': '1号线/罗宝线_新安', 'thirdType': '数据分析', 'skillLables': ['数据挖掘'], 'positionName': '高级数据分析师（金融APP方向）', 'workYear': '3-5年', 'education': '本科', 'jobNature': '全职', 'companyLogo': 'i/image/M00/37/20/CgqKkVdfms6Ac6dNAABY3gBvuqI944.jpg', 'salary': '15k-25k', 'city': '深圳', 'financeStage': '上市公司', 'industryField': '移动互联网,数据服务', 'approve': 1, 'positionId': 4185104, 'createTime': '2018-12-26 13:39:15', 'positionAdvantage': 'D轮+,大数据平台,14薪+,弹性工作', 'companyShortName': '极光', 'companySize': '500-2000人', 'companyLabelList': ['五险一金', '文体活动', '团建旅游', '美味晚餐'], 'publisherId': 2153176, 'score': 0, 'district': '南山区', 'positionLables': ['金融', '数据挖掘'], 'industryLables': ['金融', '数据挖掘'], 'businessZones': ['南头'], 'longitude': '113.907458', 'latitude': '22.550007', 'formatCreateTime': '13:39发布', 'companyFullName': '深圳市和讯华谷信息技术有限公司', 'adWord': 0}"
85,"{'companyId': 21775, 'hitags': None, 'resumeProcessRate': 31, 'resumeProcessDay': 1, 'imState': 'today', 'lastLogin': 1545785857000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '产品|需求|项目类', 'secondType': '数据分析', 'isSchoolJob': 0, 'subwayline': '2号线/蛇口线', 'stationname': '深大', 'linestaion': '2号线/蛇口线_科苑;1号线/罗宝线_高新园;1号线/罗宝线_深大', 'thirdType': '数据分析', 'skillLables': [], 'positionName': '数据分析师 （业务指标方向）', 'workYear': '1-3年', 'education': '本科', 'jobNature': '全职', 'companyLogo': 'i/image3/M00/15/FC/CgpOIFpyw7qASEOJAACCJ6iqYFc65.jpeg', 'salary': '12k-20k', 'city': '深圳', 'financeStage': '未融资', 'industryField': '移动互联网,硬件', 'approve': 1, 'positionId': 5434075, 'createTime': '2018-12-24 14:06:26', 'positionAdvantage': '无人机企业,福利待遇,发展平台', 'companyShortName': 'DJI大疆创新', 'companySize': '2000人以上', 'companyLabelList': ['朝阳行业', '丰厚薪资待遇', '年终发车', '扁平管理'], 'publisherId': 10794540, 'score': 0, 'district': '南山区', 'positionLables': [], 'industryLables': [], 'businessZones': ['科技园', '深圳湾', '南山医院'], 'longitude': '113.952222', 'latitude': '22.536797', 'formatCreateTime': '2天前发布', 'companyFullName': '深圳市大疆创新科技有限公司', 'adWord': 0}"
