longitude,latitude,salary_min,salary_max
113.94604,22.533413,10000.0,20000.0
114.11043,22.614636,15000.0,25000.0
113.940802,22.523714,20000.0,30000.0
113.940711,22.524429,15000.0,30000.0
113.91877291,22.53620103,8000.0,15000.0
113.861484,22.571452,15000.0,30000.0
113.945856,22.545687,15000.0,30000.0
113.952487,22.535129,15000.0,20000.0
114.066793,22.630102,10000.0,20000.0
114.029564,22.535769,20000.0,40000.0
114.107071,22.557567,7000.0,14000.0
113.925762,22.511996,5000.0,10000.0
113.993764,22.679499,6000.0,10000.0
113.927032,22.516651,4000.0,8000.0
113.941779,22.519131,20000.0,35000.0
114.082005,22.542374,6000.0,12000.0
114.081583,22.628562,15000.0,20000.0
113.919418,22.509455,25000.0,40000.0
114.125058,22.571168,15000.0,20000.0
113.940875,22.545767,20000.0,30000.0
113.87394,22.59503,15000.0,25000.0
114.051609,22.648808,18000.0,35000.0
113.944721,22.528936,10000.0,20000.0
113.952222,22.536797,15000.0,25000.0
113.933759,22.540582,20000.0,40000.0
113.94452,22.55665,10000.0,20000.0
114.059631,22.569077,20000.0,40000.0
113.957429,22.538684,10000.0,20000.0
113.94225,22.519682,20000.0,35000.0
114.063599,22.548153,15000.0,30000.0
114.03006011,22.53334989,10000.0,20000.0
113.934457,22.540822,20000.0,40000.0
113.93418,22.54097,4000.0,6000.0
113.940213,22.524499,15000.0,25000.0
113.942584,22.502665,10000.0,15000.0
113.933755,22.540534,7000.0,9000.0
113.948829,22.530488,25000.0,45000.0
113.88742,22.551716,25000.0,40000.0
113.946882,22.545553,8000.0,13000.0
113.993578,22.99368,10000.0,20000.0
113.950586,22.554548,15000.0,25000.0
113.953738,22.542288,15000.0,30000.0
114.02145,22.530893,10000.0,20000.0
113.943044,22.518792,15000.0,30000.0
114.063658,22.544042,18000.0,30000.0
113.93697,22.51828,25000.0,45000.0
113.943965,22.549831,15000.0,30000.0
113.937987,22.523392,21000.0,26000.0
114.040781,22.665738,8000.0,16000.0
113.94679,22.556374,15000.0,30000.0
114.037375,22.621551,5000.0,8000.0
113.955143,22.534424,20000.0,35000.0
113.879037,22.548737,8000.0,10000.0
113.940008,22.540521,15000.0,30000.0
113.944704,22.538345,18000.0,35000.0
114.02128,22.536874,5000.0,7000.0
